Tanggal,Username,Tweet,Lokasi,Followers
2023-05-07 09:24:09+00:00,mira75339695,"RT @dennyindrayana: https://t.co/80i7Aq8IZ7

𝙈𝙚𝙣𝙜𝙜𝙪𝙜𝙖𝙩 𝙀𝙩𝙞𝙠𝙖 𝙋𝙤𝙡𝙞𝙩𝙞𝙠 𝙙𝙖𝙣 𝙉𝙚𝙩𝙧𝙖𝙡𝙞𝙩𝙖𝙨 𝙋𝙧𝙚𝙨𝙞𝙙𝙚𝙣 𝙅𝙤𝙠𝙤𝙬𝙞

Menjawab gugatan atas cawe-cawenya dal…",,5
2023-05-07 09:24:03+00:00,suhardi7_Tania,RT @Ganjaran_app: Langkah awal kemenangan @ganjarpranowo sbg Presiden 2024 dimulai dari posko Pande Giling. Setelah ini ribuan posko kemena…,,7
2023-05-07 09:23:52+00:00,DiniHdianti,"RT @Urrangawak: Jember keren..
Ribuan warga sambut Ganjar di Alun-Alun Jember.

Siap kawal Ganjar menuju Presiden 2024 https://t.co/gmXccqc…","DKI Jakarta, Indonesia",872
2023-05-07 09:23:43+00:00,ayunda030579,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,688
2023-05-07 09:23:35+00:00,Gh1nh4,"RT @kirarachelsea: Berbicara soal peluang Erick Thohir menjadi Cawapres di 2024, ETHO ikuti arahan Presiden @jokowi.

@erickthohir fokus me…",,3979
2023-05-07 09:23:11+00:00,BiLLRaY2019,"RT @Urrangawak: Jember keren..
Ribuan warga sambut Ganjar di Alun-Alun Jember.

Siap kawal Ganjar menuju Presiden 2024 https://t.co/gmXccqc…",,27198
2023-05-07 09:23:10+00:00,wisatasenja,"RT @_zhyme: Ganjarian Spartan dukung @erickthohir dampingi Ganjar Pranowo di Pilpres 2024.

Dukungan ini diberikan atas dasar penilaian mer…","Kota Serang, Banten",1943
2023-05-07 09:23:10+00:00,Diditapriadi2,"RT @MissKoral: Millesa.... Millenial Sobat Anies
Siap bergerak... 
2024 Presiden.... Anies Baswedan
@sobatanies_dpn
@RikeSants
@kba_news
#S…","Banjarmasin, Kalsel",123
2023-05-07 09:23:03+00:00,Cangdanny,"RT @dVanteeNayla: Selamat milad Presiden RI 2024, Indonesia memanggil untuk Perubahan menuju masa depan yang lebih baik
07 Mei 1969 - 07 Me…",,97
2023-05-07 09:22:54+00:00,wisatasenja,RT @Mira_SasMiita: Sikap profesional Pak @erickthohir dalam menanggapi pertanyaan para Wartawan yg menanyakan sikapnya terkait munculnya na…,"Kota Serang, Banten",1943
2023-05-07 09:22:46+00:00,wisatasenja,"RT @seruanhl: Dinilai sebagai tokoh muda yang telah terbukti berhasil di kabinet pemerintahan Presiden Jokowi, Ganjarian Spartan dukung Men…","Kota Serang, Banten",1943
2023-05-07 09:22:43+00:00,DirlanSaragih,"Di 2024, Presiden NKRI Prabowo Subianto. Amin","Sumatera Utara, Indonesia",351
2023-05-07 09:22:36+00:00,Alunk_bule,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",Bogor,249
2023-05-07 09:22:26+00:00,agusvelocity,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,410
2023-05-07 09:22:15+00:00,Cangdanny,"RT @MissKoral: Millesa.... Millenial Sobat Anies
Siap bergerak... 
2024 Presiden.... Anies Baswedan
@sobatanies_dpn
@RikeSants
@kba_news
#S…",,97
2023-05-07 09:22:13+00:00,RizkyGilangP6,"Semuanya share di media sosial
Facebook, tweeter dan IG

Mention
@dpwpkbjabar
@cakimiNOW
@DPWPKB 
@SyaifulHooda

Jawa Barat Siap 
PKB menang
Gus Muhaimin Presiden 2024
Syaiful Huda Gubernur Jawa Barat 2024 https://t.co/Er3mJq9bb7",,3
2023-05-07 09:22:08+00:00,IstantoAr,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",Jakarta,53
2023-05-07 09:21:39+00:00,Urrangawak,"RT @AntoniusCDN: Putih kata Pak @jokowi putih pula bagi kami, hitam kata beliau, hitam pula bagi kami.
Satu komando apa kata beliau

#Punca…",🇮🇩 Pancasila,24436
2023-05-07 09:21:35+00:00,yoyokdenbagoes,"@aji_lembu @bengkeldodo @AndreasSolusi @PutriKindy @NKRI_jokowisyoo @prabowo @_missGe @Kimberley_2024 @GheaKulisolaya @cocolatetwo @Lacak08 @BANGSAygSUJUD kebalik kali 
visi misi itu parpol yg buat 
ditawarkan ke konstituen agar menjadi daya tarik pemilih

beda dengan kebijakan yg akan diterapkan kl partai itu menang
Presiden adalah amanat rakyat bukan partai
 otomatis mengakomodir semua nya 
yg sudah menjadi keputusan Pemerintah",Indonesia,283
